order_key,Order ID,Order Date
1,CA-2017-152156,2017-11-08
2,CA-2017-138688,2017-06-12
3,US-2016-108966,2016-10-11
4,CA-2015-115812,2015-06-09
5,CA-2018-114412,2018-04-15
6,CA-2017-161389,2017-12-05
7,US-2016-118983,2016-11-22
8,CA-2015-105893,2015-11-11
9,CA-2015-167164,2015-05-13
10,CA-2015-143336,2015-08-27
11,CA-2017-137330,2017-12-09
12,US-2018-156909,2018-07-16
13,CA-2016-106320,2016-09-25
14,CA-2017-121755,2017-01-16
15,US-2016-150630,2016-09-17
16,CA-2018-107727,2018-10-19
17,CA-2017-117590,2017-12-08
18,CA-2016-117415,2016-12-27
19,CA-2018-120999,2018-09-10
20,CA-2017-101343,2017-07-17
21,CA-2018-139619,2018-09-19
22,CA-2017-118255,2017-03-11
23,CA-2015-146703,2015-10-20
24,CA-2017-169194,2017-06-20
25,CA-2016-115742,2016-04-18
26,CA-2017-105816,2017-12-11
27,CA-2017-111682,2017-06-17
28,CA-2016-135545,2016-11-24
29,US-2016-164175,2016-04-30
30,CA-2015-106376,2015-12-05
31,CA-2017-119823,2017-06-04
32,CA-2017-106075,2017-09-18
33,CA-2018-114440,2018-09-14
34,US-2016-134026,2016-04-26
35,US-2018-118038,2018-12-09
36,US-2015-147606,2015-11-26
37,CA-2017-127208,2017-06-12
38,CA-2015-139451,2015-10-12
39,CA-2016-149734,2016-09-03
40,US-2018-119662,2018-11-13
41,CA-2018-140088,2018-05-28
42,CA-2018-155558,2018-10-26
43,CA-2017-159695,2017-04-05
44,CA-2017-109806,2017-09-17
45,CA-2016-149587,2016-01-31
46,US-2018-109484,2018-11-06
47,CA-2018-161018,2018-11-09
48,CA-2018-157833,2018-06-17
49,CA-2017-149223,2017-09-06
50,CA-2017-158568,2017-08-29
51,CA-2017-129903,2017-12-01
52,US-2016-156867,2016-11-13
53,CA-2018-119004,2018-11-23
54,CA-2016-129476,2016-10-15
55,CA-2018-146780,2018-12-25
56,CA-2017-128867,2017-11-03
57,CA-2015-115259,2015-08-25
58,CA-2016-110457,2016-03-02
59,US-2016-136476,2016-04-05
60,CA-2017-103730,2017-06-12
61,US-2015-152030,2015-12-26
62,US-2015-134614,2015-09-20
63,US-2018-107272,2018-11-05
64,US-2017-125969,2017-11-06
65,US-2018-164147,2018-02-02
66,CA-2017-145583,2017-10-13
67,CA-2017-110366,2017-09-05
68,CA-2018-106180,2018-09-18
69,CA-2018-155376,2018-12-22
70,CA-2016-110744,2016-09-07
71,CA-2015-110072,2015-10-22
72,CA-2017-114489,2017-12-05
73,CA-2017-158834,2017-03-13
74,CA-2016-124919,2016-05-31
75,CA-2016-118948,2016-05-28
76,CA-2015-104269,2015-03-01
77,CA-2017-114104,2017-11-20
78,CA-2017-162733,2017-05-11
79,CA-2016-119697,2016-12-28
80,CA-2017-154508,2017-11-16
81,CA-2017-113817,2017-11-07
82,CA-2015-139892,2015-09-08
83,CA-2015-118962,2015-08-05
84,US-2015-100853,2015-09-14
85,US-2018-152366,2018-04-21
86,US-2016-101511,2016-11-21
87,CA-2016-137225,2016-12-15
88,CA-2015-166191,2015-12-05
89,CA-2015-158274,2015-11-19
90,CA-2017-105018,2017-11-28
91,CA-2015-123260,2015-08-26
92,CA-2017-157000,2017-07-16
93,CA-2016-102281,2016-10-12
