product_key,Product ID,Category,Sub-Category,Product Name
1,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase
2,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
3,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
4,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
5,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
6,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
7,OFF-AR-10002833,Office Supplies,Art,Newell 322
8,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone
9,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
10,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
11,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables
12,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black
13,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967
14,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
15,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
16,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders
17,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
18,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer
19,OFF-AR-10003056,Office Supplies,Art,Newell 341
20,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone
21,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1"""
22,OFF-AR-10000246,Office Supplies,Art,Newell 318
23,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length"
24,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray"
25,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders
26,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
27,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
28,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems
29,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
30,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
31,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
32,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
33,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons
34,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper
35,TEC-PH-10004977,Technology,Phones,GE 30524EE4
36,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
37,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
38,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
39,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray"
40,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter
41,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550
42,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum"
43,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
44,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
45,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
46,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
47,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
48,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
49,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
50,OFF-LA-10002762,Office Supplies,Labels,Avery 485
51,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
52,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black"
53,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins
54,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone
55,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts
56,OFF-PA-10001569,Office Supplies,Paper,Xerox 232
