Row ID,Order ID,Customer ID,Product ID,Postal Code,Order Date,Ship Date,Sales,order_key,ship_key,customer_key,region_key,product_key
1,CA-2017-152156,CG-12520,FUR-BO-10001798,42420.0,2017-11-08,2017-11-11,261.96,1,78,1,1,1
2,CA-2017-152156,CG-12520,FUR-CH-10000454,42420.0,2017-11-08,2017-11-11,731.94,1,78,1,1,2
3,CA-2017-138688,DV-13045,OFF-LA-10000240,90036.0,2017-06-12,2017-06-16,14.62,2,1926,2,2,3
4,US-2016-108966,SO-20335,FUR-TA-10000577,33311.0,2016-10-11,2016-10-18,957.5775,3,3,3,3,4
5,US-2016-108966,SO-20335,OFF-ST-10000760,33311.0,2016-10-11,2016-10-18,22.368,3,3,3,3,5
6,CA-2015-115812,BH-11710,FUR-FU-10001487,90032.0,2015-06-09,2015-06-14,48.86,4,4,4,4,6
7,CA-2015-115812,BH-11710,OFF-AR-10002833,90032.0,2015-06-09,2015-06-14,7.28,4,4,4,4,7
8,CA-2015-115812,BH-11710,TEC-PH-10002275,90032.0,2015-06-09,2015-06-14,907.152,4,4,4,4,8
9,CA-2015-115812,BH-11710,OFF-BI-10003910,90032.0,2015-06-09,2015-06-14,18.504,4,4,4,4,9
10,CA-2015-115812,BH-11710,OFF-AP-10002892,90032.0,2015-06-09,2015-06-14,114.9,4,4,4,4,10
11,CA-2015-115812,BH-11710,FUR-TA-10001539,90032.0,2015-06-09,2015-06-14,1706.184,4,4,4,4,11
12,CA-2015-115812,BH-11710,TEC-PH-10002033,90032.0,2015-06-09,2015-06-14,911.424,4,4,4,4,12
13,CA-2018-114412,AA-10480,OFF-PA-10002365,28027.0,2018-04-15,2018-04-20,15.552,5,5,5,5,13
14,CA-2017-161389,IM-15070,OFF-BI-10003656,98103.0,2017-12-05,2017-12-10,407.976,6,1601,6,6,14
15,US-2016-118983,HP-14815,OFF-AP-10002311,76106.0,2016-11-22,2016-11-26,68.81,7,1528,7,7,15
16,US-2016-118983,HP-14815,OFF-BI-10000756,76106.0,2016-11-22,2016-11-26,2.544,7,1528,7,7,16
17,CA-2015-105893,PK-19075,OFF-ST-10004186,53711.0,2015-11-11,2015-11-18,665.88,8,1703,8,8,17
18,CA-2015-167164,AG-10270,OFF-ST-10000107,84084.0,2015-05-13,2015-05-15,55.5,9,705,9,9,18
19,CA-2015-143336,ZD-21925,OFF-AR-10003056,94109.0,2015-08-27,2015-09-01,8.56,10,1776,10,10,19
20,CA-2015-143336,ZD-21925,TEC-PH-10001949,94109.0,2015-08-27,2015-09-01,213.48,10,1776,10,10,20
21,CA-2015-143336,ZD-21925,OFF-BI-10002215,94109.0,2015-08-27,2015-09-01,22.72,10,1776,10,10,21
22,CA-2017-137330,KB-16585,OFF-AR-10000246,68025.0,2017-12-09,2017-12-13,19.46,11,275,11,11,22
